Unnamed: 0,UEI,Start Date,End Date,Duration(Days),Main Cause,Location,Districts,State,Latitude,Longitude,Severity,Area Affected,Human fatality,Human injured,Human Displaced,Animal Fatality,Description of Casualties/injured,Extent of damage ,Event Source,Event Souce ID,District_LGD_Codes,State_Codes
576,UEI-IMD-FL-1969-0002,1969-07-15,22-07-1969 00:00,8.0,floods,,"Beedar, Kalaburagi, Belagavi, Yadgir, Bagalkotee, Raichur, Koppal, Gadag, Ballari, Dharwad, Uttar Kashia Kannada, Haveri, Chitradurga, Davangere, Shivamogga, Udupi, Chikkamagaluru, Chikkaballapura, Hassan, Kolar, Bengaluru Rural, Dakshina Kannada, Bengaluru Urban, Kodagu, Chamarajanagaraa, Tumakuru, Ramanagara, Mandya, Mysuru, Vijayapura, Kasaragod, Wayanad, Kozhikode, Malappuram, Palakkad, Thrissur, Idukki, Ernakulam, Alappuzha, Kottayam, Pathanamthitta, Kollam, Thiruvananthapuram, Kannur","Karnataka, Kerala",,,,,,,,,,,IMD,,"None, 538, 527, 635, None, 546, 543, 537, 528, 536, None, 540, 533, 535, 547, 549, 532, 630, 539, 542, 526, 534, 525, 541, None, 548, 631, 544, 545, 530, 558, 567, 561, 562, 563, 566, 556, 555, 554, 560, 564, 559, 565, 557","29,32"
611,UEI-IMD-FL-1972-0003,1972-06-01,07-06-1972 00:00,7.0,heavy rains,,Tumakuru,Karnataka,,,,,,,,,,"Caused large scale damage to crops,houses. ",IMD,,548,29
639,UEI-IMD-FL-1974-0005,1974-07-22,28-07-1974 00:00,7.0,floods,,"Kasaragod, Wayanad, Kozhikode, Malappuram, Palakkad, Thrissur, Idukki, Ernakulam, Alappuzha, Kottayam, Pathanamthitta, Kannur,Beedar, Kalaburagi, Belagavi, Yadgir, Bagalkotee, Raichur, Koppal, Gadag, Ballari, Dharwad, Uttar Kashia Kannada, Haveri, Chitradurga, Davangere, Shivamogga, Udupi, Chikkamagaluru, Chikkaballapura, Hassan, Kolar, Bengaluru Rural, Bengaluru Urban, Kodagu, Chamarajanagaraa, Tumakuru, Ramanagara, Mandya, Mysuru, Vijayapura","Kerala, Karnataka",,,,,,,,,,"Causing extensive damage to crops,property worth several lakhs of rupees. Many were rendered homelesss. Loss of life was also reported. The worst affected district in Kerala was Idikki which also experienced landslides",IMD,,"558, 567, 561, 562, 563, 566, 556, 555, 554, 560, 564, 557, None, 538, 527, 635, None, 546, 543, 537, 528, 536, None, 540, 533, 535, 547, 549, 532, 630, 539, 542, 526, 525, 541, None, 548, 631, 544, 545, 530","32,29"
660,UEI-IMD-FL-1975-0021,1975-06-15,30-06-1975 00:00,16.0,floods,,"Udupi, Dakshina Kannada,Uttar Kashia Kannada",Karnataka,,,,,,,,,,Inundated large areas including the newly Mangalore New Port railway line,IMD,,"549, 534, None",29
661,UEI-IMD-FL-1975-0022,1975-06-15,30-06-1975 00:00,16.0,heavy rains,,"Raichur, Bijapur,Belagavi",Karnataka,,,,,,,,,,"Many huts collapsed, Jowar, Bajra,Groundnut crops",IMD,,"546, 636, 527",29
662,UEI-IMD-FL-1975-0023,1975-08-01,27-08-1975 00:00,27.0,heavy rains,," Krishna, Srikakulam,Hyderabad",Karnataka,,,,,,,,,,The rail track over a length of 250 metres in the Raipur - Vizianagaram was breahed,IMD,,"510, 519, 507",29
725,UEI-IMD-FL-1978-0030,1978-07-15,21-07-1978 00:00,7.0,moderate to severe,,"Mudigere, Mangalore,Dharwad",Karnataka,,,,,9.0,,,,"5 persons died,4 washed away","Many houses collapsed, traffic between Mangalore,Mudigere suspended",IMD,,"None, None, 536",29
726,UEI-IMD-FL-1978-0031,1978-07-22,28-07-1978 00:00,7.0,moderate to severe,,"Mangalore, Dakshina Kannada",Karnataka,,,,,4.0,2.0,,,"2 persons drowned,electrocuted in flooded Netrawati, 2 persons died near Bajpe","58 houses damaged, traffic between Mangalore,Bengaluru Rural National Highway disrupted",IMD,,"None, 534",29
775,UEI-IMD-FL-1979-0013,1979-08-02,02-08-1979 00:00,1.0,moderate floods,,Bagalkotee,Karnataka,,,,,,,,,,"National highway flooded,communication disrupted",IMD,,,29
776,UEI-IMD-FL-1979-0014,1979-08-03,04-08-1979 00:00,2.0,severe floods ,,,Karnataka,,,,,,,,,,i)People in low-lying areas evacuated ii)Paddy fields submerged,IMD,,,29
777,UEI-IMD-FL-1979-0015,1979-09-13,13-09-1979 00:00,1.0,heavy rains,,"Bengaluru Rural,Rugi",Karnataka,,,,,35.0,2.0,,,"2 children drowned when low lying areas flooded, 35 people died in house collapse","12 houses,2 huts damaged",IMD,,"526, None",29
778,UEI-IMD-FL-1979-0016,1979-09-16,16-09-1979 00:00,1.0,moderate floods,,Kolar,Karnataka,,,,,,,,,,i)Heavy damage to standing crops due breaches in tanks ii)Loss estimated Rs. 2.5 lakhs,IMD,,542,29
780,UEI-IMD-FL-1979-0018,1979-09-22,28-09-1979 00:00,7.0,severe floods ,,Vijayapura,Karnataka,,,,,,,,,,600 people marooned by flood waters,IMD,,530,29
779,UEI-IMD-FL-1979-0017,1979-09-25,25-09-1979 00:00,1.0,heavy rains,,Belagavi,Karnataka,,,,,,,,,,"30 houses collapsed, affected families shifted to safer places",IMD,,527,29
781,UEI-IMD-FL-1979-0019,1979-10-08,08-10-1979 00:00,1.0,heavy rains,,Bengaluru Rural,Karnataka,,,,,1.0,20.0,,,"A child killed,20 injured in house collapse","Low lying areas flooded,slums submerged",IMD,,526,29
782,UEI-IMD-FL-1979-0020,1979-11-16,16-11-1979 00:00,1.0,heavy rains,, Gadag,Karnataka,,,,,,,,1500,"Above 1,500 sheep gazing in a field washed away",,IMD,,537,29
841,UEI-IMD-FL-1980-0018,1980-07-01,07-07-1980 00:00,7.0,heavy rains,,Dharwad,Karnataka,,,,,3.0,4.0,,,"2 persons drowned, 1 girl killed,2 seriously injured in house collapsed","i)10,117 hectares of cultivable land under flood waters ii)Extensive damage to paddy,coconut gardens iii)Loss estimated : Rs. 70 lakhs",IMD,,536,29
839,UEI-IMD-FL-1980-0016,1980-07-02,02-07-1980 00:00,1.0,moderate floods,,"Chikkamagaluru, Dakshina Kannada",Karnataka,,,,,,,,,Several heads of cattle washed away,"i)A mini dam breached in Kudremukh stock-pile area ii)15 huts collapsed , i)Inundation of large tracks of land ii)Dislocation of vehicular traffic iii)Disruption of telecommunication system iv)Bandtal taluk marooned completely v)Total less estimated : Rs. 2 Lakhs",IMD,,"532, 534",29
840,UEI-IMD-FL-1980-0017,1980-07-05,05-07-1980 00:00,1.0,moderate floods,,Uttar Kashia Kannada,Karnataka,,,,,,,,,,i)Paddy crop in 2500 hectares damaged ii)100 coconut palms washed away in Honavar,IMD,,,29
842,UEI-IMD-FL-1980-0019,1980-08-08,14-08-1980 00:00,7.0,"heavy rains, moderate floods",,"Kodagu, Uttar Kashia Kannada",Karnataka,,,,,3.0,3.0,,800,i)3 women drowned ii)800 heads of cattle washed away,"i)457 families affected due to house collapses ii)800 hectares of land damaged iii)Loss estimated : Rs. 5 lakhs , i)20 villages with 10,000 population marooned in Honavar ii)Power generation in Sharavati hydel project affected iii)Total damages estimated : Rs.25 lakhs",IMD,,"541, None",29
843,UEI-IMD-FL-1980-0020,1980-08-22,28-08-1980 00:00,7.0,heavy rains,,Kalaburagi,Karnataka,,,,,7.0,,,,7 persons died in house collapse,,IMD,,538,29
909,UEI-IMD-FL-1981-0026,1981-08-01,07-08-1981 00:00,7.0,heavy rains,,Uttar Kashia Kannada,Karnataka,,,,,,,,,,Landslides at many places disrupting the traffic,IMD,,,29
910,UEI-IMD-FL-1981-0027,1981-08-15,21-08-1981 00:00,7.0,"cauvery,kabini rivers in floods",,Mysuru,Karnataka,,,,,,,,,,About a dozen villages affected,IMD,,545,29
